ID_REF	CT18	CT19	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT30	CT31	CT32	CT33	CT34	CT35	CT36	CT37	CT38	CT39	CT40	CT41	CT42	CT43	CT44	CT45	CT46	CT47	CT48	CT49	CT50	CT51	CT52	CT53	CT54	CT55	CT56	CT57	CT58	CT59	CT60	CT61	CT62	CT63	CT64	CT65
1437223_s_at	76921.0	73028.9	69037.3	70293.8	96922.4	85607.4	95911.8	84546.3	89165.1	79032.5	73108.7	73791.0	83965.9	91725.1	91822.9	87602.3	87701.7	85592.9	90862.3	82677.9	90783.4	87691.3	87663.7	87687.1	94165.5	97398.1	72744.5	83385.3	71988.0	78271.4	87829.7	94464.3	114145.5	93199.3	75203.1	91011.9	84884.6	77784.3	94390.6	100872.6	89845.6	89412.6	92033.5	79491.3	88685.1	94829.8	92680.6	84595.3
1417494_a_at	100673.0	103015.3	113045.8	113536.8	106365.4	120592.2	111577.1	110773.5	119381.1	132486.6	113847.6	112723.2	110391.7	118039.2	111617.5	109292.9	101886.2	99800.3	95989.5	100942.7	95234.2	101750.8	96813.0	96266.6	114160.0	116588.3	116947.4	125107.7	122387.5	124983.4	120731.0	116274.4	119576.9	111688.9	116074.9	115566.2	124635.7	122065.1	110050.2	114738.9	107811.9	109038.5	115608.0	103076.5	99764.7	121772.1	123138.0	109516.9
1417490_at	94573.5	80597.4	83399.7	86758.3	92706.7	86078.4	87390.3	77148.4	86195.7	87441.6	81786.8	80780.2	80794.3	83321.7	89823.0	77404.7	76718.2	79920.9	84084.8	74010.3	81457.5	83620.4	82941.6	82668.1	78051.3	84314.9	85001.2	79775.5	76500.8	83232.7	85225.7	83364.2	82330.3	80116.9	86933.9	86613.3	90636.6	81959.9	81423.3	81744.9	82039.1	80794.0	72168.7	47522.9	50951.1	60483.3	65918.8	71380.5
1452692_a_at	66653.5	69324.7	73285.7	67464.6	67823.2	68341.8	67399.0	67964.3	67004.3	63418.0	79628.1	67446.3	63741.2	63105.2	61142.0	61073.9	68840.2	68113.6	58411.7	71944.8	71781.8	75270.5	71975.3	67231.6	67853.1	65941.6	72840.7	61802.0	76683.2	65549.6	62097.0	62310.9	61179.9	70111.6	61368.7	62973.6	60478.8	68411.3	65411.3	64114.3	63052.3	59011.4	84500.8	100205.8	92733.0	82247.7	86328.8	86926.4
1448491_at	91163.6	101821.6	100502.5	101279.1	92469.2	79892.8	78721.0	79801.8	72919.3	82142.9	97942.7	91073.7	96399.1	79702.5	86226.7	76449.7	92050.5	89716.6	86869.5	80397.8	92980.5	91823.7	90172.6	87694.2	83402.8	83652.2	95677.4	82747.8	96651.9	80573.1	90736.1	79349.4	75855.3	94906.9	83238.7	82473.9	85824.8	86534.2	89023.0	78024.5	80109.1	83998.3	94331.2	114098.7	113972.3	86294.6	89213.2	81324.4
1450717_at	35028.8	38252.8	43019.2	41152.7	43296.8	35201.1	39119.7	34631.5	42821.3	35765.9	45564.9	45593.6	42898.3	48401.7	51195.1	41862.5	41576.7	51371.0	61289.5	50381.3	42916.7	43896.8	42726.0	47938.5	43422.9	50673.4	46445.2	38011.2	48725.4	42405.2	37727.9	35999.8	39138.4	45818.3	42212.6	47213.2	62217.8	60911.7	47101.4	49978.4	47508.2	54743.5	57307.0	60435.9	56386.3	60671.8	78516.1	57435.6
1418365_at	87407.5	95696.7	98276.7	96429.9	93600.5	81588.2	74865.4	78294.5	72911.0	69491.7	82388.2	88954.4	90730.1	70416.0	84683.9	76378.4	91869.9	92913.7	89538.8	92377.1	99591.5	89483.6	90687.5	92395.9	86517.2	85883.4	86047.0	84732.1	89801.1	86648.5	85114.3	82077.1	79697.0	93393.3	90492.8	88164.9	92766.1	95673.4	93239.8	86692.1	88060.1	88643.4	106793.4	107714.6	117114.2	87843.1	89036.3	92856.8
1419618_at	52335.6	55670.7	56886.1	55058.9	45697.0	41619.6	38865.4	43281.8	35426.3	37031.1	49794.7	52154.9	57202.2	44802.6	49554.5	47791.9	59522.0	56744.5	61630.6	53802.4	57170.5	56139.3	54906.5	53128.7	48118.1	46344.0	51812.8	47612.9	48426.8	41101.6	44735.5	43141.4	41331.7	46706.0	45153.8	49800.4	53324.6	50890.8	55175.8	50733.0	56514.2	50507.5	64043.4	81261.2	78977.2	60138.0	59845.8	57488.9
1438322_x_at	73399.9	68082.8	69113.7	53646.9	61459.0	48522.0	42180.0	50191.5	57631.5	63028.6	55455.4	62140.8	43321.3	56344.0	44505.2	52785.2	49597.6	48657.3	56907.3	40106.7	41480.3	54260.4	45684.3	52717.4	61396.4	53052.3	62607.4	65716.6	52851.7	49870.4	55690.2	49809.0	45674.0	59994.9	62557.2	57711.6	48203.2	52139.0	54673.5	49569.6	48194.9	50575.4	33581.0	31037.6	37684.7	45956.2	54906.5	47240.1
1418005_at	113706.0	117287.2	116179.9	115086.2	110307.0	104191.9	100203.7	101182.7	101418.8	97550.3	122883.5	109225.5	107535.9	96163.3	101777.8	87895.3	113676.1	117170.6	110943.5	109298.1	111999.7	106278.2	111150.8	110978.7	103954.8	106880.5	117655.3	98663.6	109264.4	95787.5	105435.7	104095.7	97988.2	112523.7	100679.7	106784.1	96967.3	100660.9	104111.6	97457.4	101030.1	96963.9	107512.0	129108.4	128337.2	110015.3	122981.8	118810.3
